"SubscriptionId","SubscriptionName","ResourceGroupName","VNetName","VNetId","Location","AddressSpace","SubnetCount","WorkloadType","Tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-TST-INSIGHTFACTORY-MGMT-AZE","Vnet01-Tst-IFCORE-AZE","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-TST-INSIGHTFACTORY-MGMT-AZE/providers/Microsoft.Network/virtualNetworks/Vnet01-Tst-IFCORE-AZE","australiaeast","10.150.217.0/24","5","Production","No tags"
"4f08f72f-8bba-48b0-94cf-3c8b172e24fe","GRP_GROUP_PRD_SUB","RG-DBW-PRD-IFG-AZE01","workers-vnet","/subscriptions/4f08f72f-8bba-48b0-94cf-3c8b172e24fe/resourceGroups/RG-DBW-PRD-IFG-AZE01/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"4f08f72f-8bba-48b0-94cf-3c8b172e24fe","GRP_GROUP_PRD_SUB","RG-PRD-INSIGHTFACTORY-AZE","vNET01-GroupIT-Prod-AUEast","/subscriptions/4f08f72f-8bba-48b0-94cf-3c8b172e24fe/resourceGroups/RG-PRD-INSIGHTFACTORY-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-GroupIT-Prod-AUEast","australiaeast","10.156.56.0/23","0","Production","No tags"
"4f08f72f-8bba-48b0-94cf-3c8b172e24fe","GRP_GROUP_PRD_SUB","RG-PRD-INSIGHTFACTORY-MGMT-AZE","vNET01-PRD-IFCORE-AZE","/subscriptions/4f08f72f-8bba-48b0-94cf-3c8b172e24fe/resourceGroups/RG-PRD-INSIGHTFACTORY-MGMT-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-IFCORE-AZE","australiaeast","10.150.88.0/22","7","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","databricks-rg-dbwsboxedwaze01-enlynmc7mdglq","workers-vnet","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/databricks-rg-dbwsboxedwaze01-enlynmc7mdglq/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","dwnfoawmbld","dwnfoawmbld","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/dwnfoawmbld/providers/Microsoft.Network/virtualNetworks/dwnfoawmbld","australiaeast","10.1.0.0/16","2","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","dwnfoawmdev1","dwnfoawmdev1","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/dwnfoawmdev1/providers/Microsoft.Network/virtualNetworks/dwnfoawmdev1","australiaeast","10.1.0.0/16","2","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","dwnfoawmdev2","dwnfoawmdev2-64104ae1","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/dwnfoawmdev2/providers/Microsoft.Network/virtualNetworks/dwnfoawmdev2-64104ae1","australiaeast","10.1.0.0/16","2","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","Marc-Test","Azure-V-01-vnet","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/Marc-Test/providers/Microsoft.Network/virtualNetworks/Azure-V-01-vnet","australiaeast","10.2.0.0/16","4","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","NFRADM-TEST","infradm-VNET1","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/NFRADM-TEST/providers/Microsoft.Network/virtualNetworks/infradm-VNET1","australiaeast","10.0.0.0/16","3","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","repair-IRVMDEVEDWAZE01-20240720150350","repair-IRVMDEV_VNET","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/repair-IRVMDEVEDWAZE01-20240720150350/providers/Microsoft.Network/virtualNetworks/repair-IRVMDEV_VNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","repair-irvmdevedwaze01-20240720155251","repair-irvmdev_VNET","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/repair-irvmdevedwaze01-20240720155251/providers/Microsoft.Network/virtualNetworks/repair-irvmdev_VNET","australiaeast","10.0.0.0/16","1","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-DEV-DYN-ODS-NETWORK-AZE","vNET01-DEV-DYN-ODS-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-DEV-DYN-ODS-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-DEV-DYN-ODS-AZE","australiaeast","10.150.186.0/26","3","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-DEV-Package-Solution-Utils","vNET-DEV-PS","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-DEV-Package-Solution-Utils/providers/Microsoft.Network/virtualNetworks/vNET-DEV-PS","australiaeast","10.3.0.0/16","1","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-DEV-RDS-DD-NETWORK-AZE","vNET-temp-firewall","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-DEV-RDS-DD-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET-temp-firewall","australiaeast","10.197.0.0/18","3","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-DEV-RDS-DD-NETWORK-AZE","vNET01-DEV-RDS-DD-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-DEV-RDS-DD-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-DEV-RDS-DD-AZE","australiaeast","10.150.200.0/21","8","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-GRP-NONPRD-AIS-SFTP-AZE","RG-GRP-NONPRD-AIS-SFTP-AZE-vnet","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-GRP-NONPRD-AIS-SFTP-AZE/providers/Microsoft.Network/virtualNetworks/RG-GRP-NONPRD-AIS-SFTP-AZE-vnet","australiaeast","10.0.0.0/24","1","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-GRP-NonProd-DWN-DBA","vNET-NonProd-ORADB01-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-GRP-NonProd-DWN-DBA/providers/Microsoft.Network/virtualNetworks/vNET-NonProd-ORADB01-AZE","australiaeast","10.150.187.128/26","1","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-NonProd-AIS-Networking","vNET-AIS-NonProd-AUEast","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-NonProd-AIS-Networking/providers/Microsoft.Network/virtualNetworks/vNET-AIS-NonProd-AUEast","australiaeast","10.150.168.0/21, 10.150.128.0/21","52","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-NonProd-SQLMI-AZE","vNET-NonProd-SQLMI-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-NonProd-SQLMI-AZE/providers/Microsoft.Network/virtualNetworks/vNET-NonProd-SQLMI-AZE","australiaeast","10.150.185.0/24","3","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-SPL-NonProd-Network-AUEast","vNET01-SPL-NonProd-AUEast","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-SPL-NonProd-Network-AUEast/providers/Microsoft.Network/virtualNetworks/vNET01-SPL-NonProd-AUEast","australiaeast","10.150.160.0/21","23","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-TST-DYN-ODS-NETWORK-AZE","vNET01-TST-DYN-ODS-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-TST-DYN-ODS-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-TST-DYN-ODS-AZE","australiaeast","10.150.186.64/26","3","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-TST-EAS-AZE","vNET01-GRP-NPD-EAS-TST-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-TST-EAS-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-GRP-NPD-EAS-TST-AZE","australiaeast","10.150.184.32/27","2","Production","No tags"
"c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0","GRP_NONPRD_SUB","RG-TST-RDS-DD-NETWORK-AZE","vNET01-TST-RDS-DD-AZE","/subscriptions/c4b9d367-0a3e-4a15-9a23-9b2480aa8ec0/resourceGroups/RG-TST-RDS-DD-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-TST-RDS-DD-AZE","australiaeast","10.150.208.0/21","8","Production","No tags"
"3eec82b4-e883-44ff-af95-6216fdd479f9","GRP_PRD_SUB","RG-GRP-Prod-DWN-DBA","vNET-Prod-ORADB01-AZE","/subscriptions/3eec82b4-e883-44ff-af95-6216fdd479f9/resourceGroups/RG-GRP-Prod-DWN-DBA/providers/Microsoft.Network/virtualNetworks/vNET-Prod-ORADB01-AZE","australiaeast","10.150.48.64/26","2","Production","No tags"
"3eec82b4-e883-44ff-af95-6216fdd479f9","GRP_PRD_SUB","RG-PRD-DYN-ODS-NETWORK-AZE","vNET01-PRD-DYN-ODS-AZE","/subscriptions/3eec82b4-e883-44ff-af95-6216fdd479f9/resourceGroups/RG-PRD-DYN-ODS-NETWORK-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-DYN-ODS-AZE","australiaeast","10.150.52.0/24","3","Production","No tags"
"3eec82b4-e883-44ff-af95-6216fdd479f9","GRP_PRD_SUB","RG-PRD-EAS-AZE","vNET01-GRP-PRD-EAS-PRD-AZE","/subscriptions/3eec82b4-e883-44ff-af95-6216fdd479f9/resourceGroups/RG-PRD-EAS-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-GRP-PRD-EAS-PRD-AZE","australiaeast","10.150.48.0/27","2","Production","No tags"
"3eec82b4-e883-44ff-af95-6216fdd479f9","GRP_PRD_SUB","RG-PRD-EAS-AZE","vNET02-GRP-PRD-EAS-PRD-AZE","/subscriptions/3eec82b4-e883-44ff-af95-6216fdd479f9/resourceGroups/RG-PRD-EAS-AZE/providers/Microsoft.Network/virtualNetworks/vNET02-GRP-PRD-EAS-PRD-AZE","australiaeast","10.150.48.32/28","1","Production","No tags"
